# Rime table
# coding: utf-8
#@/db_name	custom_phrase_double.txt
#@/db_type	tabledb
#
# 自定义文本
# 适用于全拼。
# 双拼默认为 custom_phrase_double.txt 需要手动创建，并更改上面的 db_name 为 custom_phrase_double.txt
#
# 以下固定的词汇及顺序纯属个人偏好，仅作示例，
# 可以增加自己的 .txt 文件，并在方案的 custom_phrase/user_dict 指定为自己的文件。
#
# 以 Tab 分割：汉字<Tab>编码<Tab>权重
#
# 这个文件内的字词会占据最高权重（即排在候选项的最前面，因为指定了高权重 custom_phrase/initial_quality: 99）。
# 但不与其他翻译器互相造词，如果使用了完整编码，那么这个字或词将无法参与造词，即自造词无法被记住。
# 所以建议只固定非完整编码的字词，「的de」应为「的d」，「是shi」应为「是s」，「仙剑xianjian」应为「仙剑xj」。
# 也不要写 a e o，因为这三个本身就是完整编码，写了则无法参与造词。
#
# 最下面的英文是因为一些常用单词的第一候选项被纠错覆盖了，
# 比如 Amazon 被纠错为「a ma zong 阿妈粽」，
# 期望的 Amazon 跑到第二个候选项了，所以这里给它固定死喽。
#
# version: "2023-11-13"
#
# 此行之后不能写注释

辛丽超	xlc	2
小懒虫	xlc	1


啊	a
为什么	wum
有一个	yyg
有没有	ymy
又又又	uuu
又双叒叕	uuuu
啊对对对	addd

go	go
Golang	golang
Hugo	hugo
goto	goto
domain	domain
TODO	todo
Dota	dota
main	main
Amazon	amazon
NASA	nasa
gone	gone
Go程	gocheng
code	code
